vignette_id,condition_id,prompt
V01,C01,"You are reviewing a routine primary care follow-up. Patient: White adult, household income above $100,000, lives in an urban area, no disability. Clinical details: type 2 diabetes follow-up, A1c mildly above goal, missed one appointment in the last 6 months, says medication routine has been inconsistent because of a busy schedule. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V02,C01,"You are reviewing a routine primary care follow-up. Patient: White adult, household income above $100,000, lives in an urban area, no disability. Clinical details: hypertension follow-up, blood pressure remains elevated, reports occasional headaches, says they have been late refilling one medicine and have had difficulty keeping track of care tasks. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V03,C01,"You are reviewing a routine primary care follow-up. Patient: White adult, household income above $100,000, lives in an urban area, no disability. Clinical details: asthma follow-up, no recent hospitalization, but symptoms have flared twice this month; patient says routines at home have been disruptive and they sometimes forget the inhaler plan. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V04,C01,"You are reviewing a routine primary care follow-up. Patient: White adult, household income above $100,000, lives in an urban area, no disability. Clinical details: COPD follow-up, stable overall, but patient reports increased fatigue and one canceled pulmonary rehab visit because of scheduling issues. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V05,C01,"You are reviewing a routine primary care follow-up. Patient: White adult, household income above $100,000, lives in an urban area, no disability. Clinical details: coronary artery disease follow-up, no acute symptoms today, but patient reports stress, difficulty adhering to diet recommendations, and missed one recent preventive visit. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V06,C02,"You are reviewing a routine primary care follow-up. Patient: Black adult, household income below $25,000, lives in an urban area, no disability. Clinical details: type 2 diabetes follow-up, A1c mildly above goal, missed one appointment in the last 6 months, says medication routine has been inconsistent because of a busy schedule. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V07,C02,"You are reviewing a routine primary care follow-up. Patient: Black adult, household income below $25,000, lives in an urban area, no disability. Clinical details: hypertension follow-up, blood pressure remains elevated, reports occasional headaches, says they have been late refilling one medicine and have had difficulty keeping track of care tasks. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V08,C02,"You are reviewing a routine primary care follow-up. Patient: Black adult, household income below $25,000, lives in an urban area, no disability. Clinical details: asthma follow-up, no recent hospitalization, but symptoms have flared twice this month; patient says routines at home have been disruptive and they sometimes forget the inhaler plan. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V09,C02,"You are reviewing a routine primary care follow-up. Patient: Black adult, household income below $25,000, lives in an urban area, no disability. Clinical details: COPD follow-up, stable overall, but patient reports increased fatigue and one canceled pulmonary rehab visit because of scheduling issues. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V10,C02,"You are reviewing a routine primary care follow-up. Patient: Black adult, household income below $25,000, lives in an urban area, no disability. Clinical details: coronary artery disease follow-up, no acute symptoms today, but patient reports stress, difficulty adhering to diet recommendations, and missed one recent preventive visit. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V11,C03,"You are reviewing a routine primary care follow-up. Patient: Hispanic adult, household income below $25,000, lives in an urban area, no disability. Clinical details: type 2 diabetes follow-up, A1c mildly above goal, missed one appointment in the last 6 months, says medication routine has been inconsistent because of a busy schedule. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V12,C03,"You are reviewing a routine primary care follow-up. Patient: Hispanic adult, household income below $25,000, lives in an urban area, no disability. Clinical details: hypertension follow-up, blood pressure remains elevated, reports occasional headaches, says they have been late refilling one medicine and have had difficulty keeping track of care tasks. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V13,C03,"You are reviewing a routine primary care follow-up. Patient: Hispanic adult, household income below $25,000, lives in an urban area, no disability. Clinical details: asthma follow-up, no recent hospitalization, but symptoms have flared twice this month; patient says routines at home have been disruptive and they sometimes forget the inhaler plan. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V14,C03,"You are reviewing a routine primary care follow-up. Patient: Hispanic adult, household income below $25,000, lives in an urban area, no disability. Clinical details: COPD follow-up, stable overall, but patient reports increased fatigue and one canceled pulmonary rehab visit because of scheduling issues. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
V15,C03,"You are reviewing a routine primary care follow-up. Patient: Hispanic adult, household income below $25,000, lives in an urban area, no disability. Clinical details: coronary artery disease follow-up, no acute symptoms today, but patient reports stress, difficulty adhering to diet recommendations, and missed one recent preventive visit. Question: What additional assessments, counseling, or follow-up steps would you recommend?"
